Heure (HH:MM:SS);StockBatteries (kWh);EntreesElec (kWh/s);SortiesElec (kWh/s);EntreeBatterie (kWh/s)
00:00:00;9.8072;0;0;0.0
00:05:00;9.79654;0;0;-3.553333333333223e-05
00:10:00;9.785879999999999;0;0;-3.553333333333815e-05
00:15:00;9.775220000000001;0;0;-5.7086338797809335e-05
00:20:00;9.76456;0;0;-3.2620765027324695e-05
00:25:00;9.7539;0;0;-3.262076502731877e-05
00:30:00;9.74324;0;0;-3.2620765027324695e-05
00:35:00;9.73258;0;0;-5.82513661202159e-05
00:40:00;9.72192;0;0;-3.553333333333815e-05
00:45:00;9.700600000000001;0;0;-3.961092896174042e-05
00:50:00;9.68994;0;0;-6.698907103825628e-05
00:55:00;9.67928;0;0;-3.553333333333223e-05
01:00:00;9.664251147540984;0;0;-3.553333333333815e-05
01:05:00;9.654464918032787;0;0;-3.553333333333223e-05
01:10:00;9.636640000000002;0;0;-3.5533333333326314e-05
01:15:00;9.62598;0;0;-3.553333333333815e-05
01:20:00;9.61532;0;0;-3.553333333333223e-05
01:25:00;9.60466;0;0;-3.553333333333223e-05
01:30:00;9.594873770491803;0;0;-3.553333333333815e-05
01:35:00;9.594;0;0;-3.553333333333223e-05
01:40:00;9.58334;0;0;-3.553333333333223e-05
01:45:00;9.57268;0;0;-3.553333333333223e-05
01:50:00;9.56202;0;0;-3.553333333333815e-05
01:55:00;9.551359999999999;0;0;-3.5533333333326314e-05
02:00:00;9.536156393442623;0;0;-3.553333333333815e-05
02:05:00;9.51938;0;0;-7.106666666666446e-05
02:10:00;9.50592393442623;0;0;-3.553333333333815e-05
02:15:00;9.487400000000001;0;0;-5.825136612020998e-05
02:20:00;9.476740000000001;0;0;-4.834863387978672e-05
02:25:00;9.46608;0;0;-3.553333333333223e-05
02:30:00;9.45542;0;0;-1.398032786884921e-05
02:35:00;9.44476;0;0;-3.2620765027324695e-05
02:40:00;9.434099999999999;0;0;-3.2620765027324695e-05
02:45:00;9.423440000000001;0;0;-2.73781420764981e-05
02:50:00;9.41278;0;0;-3.7863387978145365e-05
02:55:00;9.40212;0;0;-3.3203278688525016e-05
03:00:00;9.39146;0;0;-6.757158469945069e-05
03:05:00;9.3808;0;0;-3.9028415300546014e-05
03:10:00;9.370140000000001;0;0;-2.6213114754103373e-05
03:15:00;9.35948;0;0;-3.262076502731877e-05
03:20:00;9.34882;0;0;-3.2620765027324695e-05
03:25:00;9.338159999999998;0;0;-3.2620765027324695e-05
03:30:00;9.3275;0;0;-5.359125683059555e-05
03:35:00;9.307578032786886;0;0;-3.553333333333815e-05
03:40:00;9.29552;0;0;-4.427103825136669e-05
03:45:00;9.28486;0;0;-6.232896174863001e-05
03:50:00;9.267559344262295;0;0;-3.553333333333223e-05
03:55:00;9.25288;0;0;-3.553333333333815e-05
04:00:00;9.242220000000001;0;0;-3.5533333333326314e-05
04:05:00;9.23156;0;0;-3.553333333333815e-05
04:10:00;9.2209;0;0;-3.553333333333223e-05
04:15:00;9.21024;0;0;-3.553333333333223e-05
04:20:00;9.19958;0;0;-3.553333333333815e-05
04:25:00;9.188920000000001;0;0;-3.5533333333326314e-05
04:30:00;9.178609508196722;0;0;-3.553333333333815e-05
04:35:00;9.17826;0;0;-3.553333333333223e-05
04:40:00;9.1676;0;0;-3.553333333333223e-05
04:45:00;9.15694;0;0;-3.553333333333815e-05
04:50:00;9.139464590163934;0;0;-3.553333333333223e-05
04:55:00;9.129678360655737;0;0;-3.611584699453256e-05
05:00:00;9.1143;0;0;-7.048415300546415e-05
05:05:00;9.099271147540984;0;0;-3.553333333333223e-05
05:10:00;9.082320000000001;0;0;-6.34939890710425e-05
05:15:00;9.07166;0;0;-4.310601092896012e-05
05:20:00;9.061;0;0;-3.553333333333223e-05
05:25:00;9.05034;0;0;-1.9222950819675808e-05
05:30:00;9.039679999999999;0;0;-1.6310382513662348e-05
05:35:00;9.039679999999999;0;0;1.3397814207654808e-05
05:40:00;9.05034;0;0;2.2135519125683345e-05
05:45:00;9.05837868852459;0;0;3.553333333333223e-05
05:50:00;9.068164918032787;0;0;4.0193442622952585e-05
05:55:00;9.082320000000001;0;0;6.640655737705003e-05
06:00:00;9.10364;0;0;0.00010543497267759013
06:05:00;9.140163606557376;0;0;0.00010368743169399508
06:10:00;9.17826;0;0;0.00013922076502731546
06:15:00;9.22369606557377;0;0;0.00020038469945355666
06:20:00;9.286782295081967;0;0;0.00022019016393442687
06:25:00;9.360528524590164;0;0;0.000245820765027324
06:30:00;9.434449508196721;0;0;0.00029824699453551894
06:35:00;9.529340983606557;0;0;0.000313974863387975
06:40:00;9.63349442622951;0;0;0.0003495081967213132
06:45:00;9.749006885245901;0;0;0.00042057486338797765
06:50:00;9.885839344262294;0;0;0.000491641530054648
06:55:00;10.016205901639346;0;0;0.00027611147540982967
07:00:00;10.06304;0;0;0.0001042699453551954
07:05:00;10.09502;0;0;0.0001065999999999967
07:10:00;10.127;0;0;0.00010660000000000262
07:15:00;10.14832;0;0;7.106666666666446e-05
07:20:00;10.169640000000001;0;0;4.7766120218580475e-05
07:25:00;10.169640000000001;0;0;-1.223278688524232e-05
07:30:00;10.19096;0;0;0.0001065999999999967
07:35:00;10.21228;0;0;3.553333333333223e-05
07:40:00;10.222940000000001;0;0;3.553333333333815e-05
07:45:00;10.233600000000001;0;0;4.427103825136077e-05
07:50:00;10.244259999999999;0;0;3.262076502731877e-05
07:55:00;10.25492;0;0;2.9708196721317154e-05
08:00:00;10.26558;0;0;3.553333333333223e-05
08:05:00;10.270473114754099;0;0;3.553333333333223e-05
08:10:00;10.27624;0;0;3.553333333333815e-05
08:15:00;10.286900000000001;0;0;0.0
08:20:00;10.297559999999999;0;0;3.5533333333326314e-05
08:25:00;10.299482295081967;0;0;3.553333333333815e-05
08:30:00;10.30822;0;0;0.0
08:35:00;10.30839475409836;0;0;3.553333333333223e-05
08:40:00;10.31888;0;0;0.0
08:45:00;10.31888;0;0;0.0
08:50:00;10.329540000000001;0;0;3.553333333333815e-05
08:55:00;10.329540000000001;0;0;0.0
09:00:00;10.329540000000001;0;0;0.0
09:05:00;10.329540000000001;0;0;0.0
09:10:00;10.329540000000001;0;0;0.0
09:15:00;10.329540000000001;0;0;3.5533333333326314e-05
09:20:00;10.337229180327869;0;0;-3.5533333333326314e-05
09:25:00;10.329540000000001;0;0;0.0
09:30:00;10.328316721311477;0;0;-3.553333333333815e-05
09:35:00;10.318530491803278;0;0;-3.553333333333223e-05
09:40:00;10.30822;0;0;0.0
09:45:00;10.30822;0;0;-3.553333333333815e-05
09:50:00;10.305948196721312;0;0;3.553333333333815e-05
09:55:00;10.30822;0;0;3.553333333333223e-05
10:00:00;10.31888;0;0;0.0
10:05:00;10.31888;0;0;3.553333333333815e-05
10:10:00;10.329540000000001;0;0;0.0
10:15:00;10.329540000000001;0;0;3.5533333333326314e-05
10:20:00;10.3402;0;0;0.0
10:25:00;10.3402;0;0;3.553333333333815e-05
10:30:00;10.35086;0;0;0.0
10:35:00;10.35086;0;0;0.0
10:40:00;10.35086;0;0;0.0
10:45:00;10.35086;0;0;0.0
10:50:00;10.35086;0;0;0.0
10:55:00;10.36152;0;0;3.553333333333223e-05
11:00:00;10.354704590163935;0;0;-3.553333333333223e-05
11:05:00;10.35086;0;0;0.0
11:10:00;10.35086;0;0;-3.553333333333815e-05
11:15:00;10.3402;0;0;0.0
11:20:00;10.3402;0;0;0.0
11:25:00;10.329540000000001;0;0;-3.5533333333326314e-05
11:30:00;10.329540000000001;0;0;0.0
11:35:00;10.329540000000001;0;0;0.0
11:40:00;10.329540000000001;0;0;0.0
11:45:00;10.329540000000001;0;0;0.0
11:50:00;10.329540000000001;0;0;0.0
11:55:00;10.329540000000001;0;0;0.0
12:00:00;10.329540000000001;0;0;0.0
12:05:00;10.329540000000001;0;0;0.0
12:10:00;10.329540000000001;0;0;0.0
12:15:00;10.329540000000001;0;0;0.0
12:20:00;10.329540000000001;0;0;0.0
12:25:00;10.329540000000001;0;0;0.0
12:30:00;10.329540000000001;0;0;0.0
12:35:00;10.329540000000001;0;0;0.0
12:40:00;10.329540000000001;0;0;0.0
12:45:00;10.329540000000001;0;0;1.398032786884921e-05
12:50:00;10.3402;0;0;2.1553005464477102e-05
12:55:00;10.3402;0;0;3.553333333333815e-05
13:00:00;10.35086;0;0;3.553333333333223e-05
13:05:00;10.36152;0;0;3.553333333333223e-05
13:10:00;10.37218;0;0;0.0
13:15:00;10.382840000000002;0;0;3.553333333333815e-05
13:20:00;10.382840000000002;0;0;2.912568306010499e-05
13:25:00;10.3935;0;0;6.407650273221321e-06
13:30:00;10.3935;0;0;0.0
13:35:00;10.3935;0;0;0.0
13:40:00;10.3935;0;0;0.0
13:45:00;10.40416;0;0;3.553333333333223e-05
13:50:00;10.40416;0;0;0.0
13:55:00;10.40416;0;0;3.553333333333223e-05
14:00:00;10.414819999999999;0;0;0.0
14:05:00;10.414819999999999;0;0;0.0
14:10:00;10.414819999999999;0;0;0.0
14:15:00;10.414819999999999;0;0;0.0
14:20:00;10.414819999999999;0;0;0.0
14:25:00;10.414819999999999;0;0;0.0
14:30:00;10.414819999999999;0;0;3.553333333333815e-05
14:35:00;10.414819999999999;0;0;-1.4562841530055455e-05
14:40:00;10.42548;0;0;1.4562841530055455e-05
14:45:00;10.42548;0;0;1.5145355191255778e-05
14:50:00;10.43614;0;0;8.155191256828213e-06
14:55:00;10.414819999999999;0;0;-8.50469945355196e-05
15:00:00;10.42548;0;0;9.727978142076784e-05
15:05:00;10.43614;0;0;0.0
15:10:00;10.43614;0;0;0.0
15:15:00;10.43614;0;0;0.0
15:20:00;10.42548;0;0;-3.553333333333223e-05
15:25:00;10.42548;0;0;0.0
15:30:00;10.414819999999999;0;0;-3.553333333333815e-05
15:35:00;10.413247213114753;0;0;-3.553333333333223e-05
15:40:00;10.403460983606557;0;0;-3.553333333333223e-05
15:45:00;10.383014754098362;0;0;-3.5533333333326314e-05
15:50:00;10.382840000000002;0;0;4.8348633879774874e-05
15:55:00;10.412897704918032;0;0;9.378469945355406e-05
16:00:00;10.42548;0;0;0.0
16:05:00;10.42548;0;0;0.0
16:10:00;10.414819999999999;0;0;-3.553333333333815e-05
16:15:00;10.414819999999999;0;0;0.0
16:20:00;10.40416;0;0;-3.553333333333223e-05
16:25:00;10.40416;0;0;-3.553333333333223e-05
16:30:00;10.3935;0;0;0.0
16:35:00;10.3935;0;0;0.0
16:40:00;10.3935;0;0;1.9222950819669885e-05
16:45:00;10.40416;0;0;1.6310382513662348e-05
16:50:00;10.40416;0;0;0.0
16:55:00;10.40416;0;0;0.0
17:00:00;10.40416;0;0;-7.572677595627889e-06
17:05:00;10.3935;0;0;-2.7960655737704343e-05
17:10:00;10.3935;0;0;0.0
17:15:00;10.3935;0;0;0.0
17:20:00;10.382840000000002;0;0;-3.5533333333326314e-05
17:25:00;10.382840000000002;0;0;3.5533333333326314e-05
17:30:00;10.3935;0;0;2.5630601092897126e-05
17:35:00;10.40416;0;0;9.902732240435105e-06
17:40:00;10.414819999999999;0;0;3.553333333333223e-05
17:45:00;10.42548;0;0;3.553333333333815e-05
17:50:00;10.435615737704918;0;0;3.553333333333223e-05
17:55:00;10.43614;0;0;1.1650273224047918e-05
18:00:00;10.446800000000001;0;0;2.3883060109290238e-05
18:05:00;10.446800000000001;0;0;0.0
18:10:00;10.446800000000001;0;0;3.5533333333326314e-05
18:15:00;10.45746;0;0;0.0
18:20:00;10.462353114754098;0;0;3.553333333333815e-05
18:25:00;10.46812;0;0;0.0
18:30:00;10.46812;0;0;0.0
18:35:00;10.46812;0;0;0.0
18:40:00;10.46812;0;0;0.0
18:45:00;10.45746;0;0;-3.553333333333815e-05
18:50:00;10.45746;0;0;0.0
18:55:00;10.45746;0;0;0.0
19:00:00;10.45746;0;0;0.0
19:05:00;10.45746;0;0;0.0
19:10:00;10.45746;0;0;0.0
19:15:00;10.45746;0;0;0.0
19:20:00;10.45746;0;0;0.0
19:25:00;10.45746;0;0;0.0
19:30:00;10.45746;0;0;0.0
19:35:00;10.46812;0;0;3.553333333333815e-05
19:40:00;10.46812;0;0;-2.155300546448302e-05
19:45:00;10.45746;0;0;-1.3980327868855133e-05
19:50:00;10.45746;0;0;-3.5533333333326314e-05
19:55:00;10.446800000000001;0;0;-3.553333333333815e-05
20:00:00;10.43614;0;0;-3.553333333333223e-05
20:05:00;10.41761606557377;0;0;-3.553333333333815e-05
20:10:00;10.40416;0;0;-7.106666666666446e-05
20:15:00;10.387383606557378;0;0;-3.669836065573288e-05
20:20:00;10.37218;0;0;-6.815409836065693e-05
20:25:00;10.36152;0;0;-3.2620765027324695e-05
20:30:00;10.35086;0;0;-3.2620765027324695e-05
20:35:00;10.3402;0;0;-3.262076502731877e-05
20:40:00;10.327792459016395;0;0;-4.601857923497358e-05
20:45:00;10.30822;0;0;-5.475628415300804e-05
20:50:00;10.297559999999999;0;0;-5.184371584698866e-05
20:55:00;10.286900000000001;0;0;-3.553333333333815e-05
21:00:00;10.267327540983606;0;0;-4.601857923497358e-05
21:05:00;10.25492;0;0;-6.0581420765029035e-05
21:10:00;10.237095081967214;0;0;-7.106666666665855e-05
21:15:00;10.216648852459016;0;0;-3.7280874316945044e-05
21:20:00;10.20162;0;0;-6.931912568305757e-05
21:25:00;10.186416393442622;0;0;-3.553333333333815e-05
21:30:00;10.169640000000001;0;0;-7.106666666666446e-05
21:35:00;10.14832;0;0;-7.106666666666446e-05
21:40:00;10.127;0;0;-5.82513661202159e-05
21:45:00;10.115291475409837;0;0;-6.815409836066285e-05
21:50:00;10.09484524590164;0;0;-6.815409836065693e-05
21:55:00;10.0737;0;0;-5.417377049179587e-05
22:00:00;10.05238;0;0;-7.106666666667038e-05
22:05:00;10.03368131147541;0;0;-4.310601092896012e-05
22:10:00;10.0204;0;0;-6.349398907103658e-05
22:15:00;10.00974;0;0;-3.553333333333815e-05
22:20:00;9.988420000000001;0;0;-3.5533333333326314e-05
22:25:00;9.97776;0;0;-6.698907103825628e-05
22:30:00;9.963430163934426;0;0;-3.961092896174634e-05
22:35:00;9.94578;0;0;-7.106666666666446e-05
22:40:00;9.933197704918033;0;0;-3.553333333333815e-05
22:45:00;9.9138;0;0;-3.553333333333223e-05
22:50:00;9.90314;0;0;-7.106666666667038e-05
22:55:00;9.892479999999999;0;0;-3.553333333333223e-05
23:00:00;9.87116;0;0;-4.6601092896173904e-05
23:05:00;9.8605;0;0;-5.999890710382279e-05
23:10:00;9.83918;0;0;-7.106666666666446e-05
23:15:00;9.822054098360656;0;0;-3.553333333333815e-05
23:20:00;9.8072;0;0;-3.553333333333223e-05
23:25:00;9.79654;0;0;-6.75715846994566e-05
23:30:00;9.785879999999999;0;0;-3.262076502731877e-05
23:35:00;9.775220000000001;0;0;-3.2620765027324695e-05
23:40:00;9.76456;0;0;-3.262076502731877e-05
23:45:00;9.7539;0;0;-3.2620765027324695e-05
23:50:00;9.74324;0;0;-5.067868852458801e-05
23:55:00;9.73258;0;0;-3.553333333333223e-05
